IGN,Real Name,Stats
Chronicle,Timofey Khromov,"['Viper', '(8) 57%', '157', '1.19', '224.8', '1.20', '149.7', '71%', '0.80', '0.26', '0.14', '0.10', '125', '104', '41', '22', '15']","['Sova', '(6) 43%', '136', '1.24', '224.0', '1.26', '158.6', '76%', '0.75', '0.32', '0.12', '0.04', '102', '81', '43', '16', '6']"
Derke,Nikita Sirmitev,"['Raze', '(10) 71%', '205', '1.23', '265.7', '1.32', '173.6', '72%', '0.94', '0.19', '0.17', '0.15', '192', '145', '39', '34', '30']","['Yoru', '(4) 29%', '88', '1.21', '236.5', '1.35', '151.5', '73%', '0.88', '0.17', '0.19', '0.14', '77', '57', '15', '17', '12']"
Alfajer,Emir Ali Beder,"['Killjoy', '(7) 50%', '139', '1.01', '187.6', '0.99', '137.5', '73%', '0.68', '0.17', '0.07', '0.06', '95', '96', '23', '10', '8']","['Gekko', '(3) 21%', '68', '0.95', '195.3', '1.02', '125.8', '68%', '0.71', '0.18', '0.07', '0.10', '48', '47', '12', '5', '7']","['Breach', '(2) 14%', '48', '1.18', '197.0', '1.13', '146.5', '73%', '0.73', '0.50', '0.06', '0.06', '35', '31', '24', '3', '3']"
hiro,Emirhan Kat,"['Fade', '(8) 44%', '157', '0.95', '175.9', '0.94', '112.4', '71%', '0.60', '0.34', '0.06', '0.08', '94', '100', '54', '10', '12']","['Cypher', '(6) 33%', '124', '0.94', '182.2', '0.95', '119.0', '69%', '0.66', '0.19', '0.09', '0.06', '82', '86', '23', '11', '8']","['Viper', '(3) 17%', '64', '0.99', '188.3', '1.00', '121.9', '70%', '0.72', '0.23', '0.06', '0.09', '46', '46', '15', '4', '6']"
Sayf,Saif Jibraeel,"['Neon', '(3) 43%', '58', '1.18', '240.7', '1.20', '162.4', '69%', '0.84', '0.29', '0.10', '0.14', '49', '41', '17', '6', '8']","['Jett', '(2) 29%', '54', '0.92', '174.0', '0.97', '113.5', '61%', '0.67', '0.11', '0.13', '0.20', '36', '37', '6', '7', '11']","['Raze', '(2) 29%', '39', '0.89', '200.0', '0.86', '140.1', '72%', '0.62', '0.26', '0.08', '0.15', '24', '28', '10', '3', '6']"
trexx,Nikita Cherednichenko,"['Sova', '(5) 71%', '112', '1.25', '227.8', '1.24', '157.1', '70%', '0.83', '0.34', '0.07', '0.07', '93', '75', '38', '8', '8']","['Fade', '(2) 29%', '39', '1.19', '228.5', '1.25', '148.9', '79%', '0.77', '0.36', '0.13', '0.05', '30', '24', '14', '5', '2']"
ceNder,Jokubas Labutis,"['Omen', '(6) 86%', '125', '0.86', '160.2', '0.87', '101.9', '66%', '0.62', '0.32', '0.06', '0.15', '77', '89', '40', '8', '19']","['Viper', '(1) 14%', '26', '0.99', '208.0', '1.06', '139.5', '77%', '0.73', '0.31', '0.08', '0.15', '19', '18', '8', '2', '4']"
Kicks,Kimmie Laasner,"['Kayo', '(4) 57%', '86', '0.93', '155.3', '0.68', '98.9', '71%', '0.47', '0.64', '0.07', '0.07', '40', '59', '55', '6', '6']","['Gekko', '(2) 29%', '46', '0.92', '195.0', '0.94', '128.8', '70%', '0.72', '0.15', '0.07', '0.09', '33', '35', '7', '3', '4']","['Breach', '(1) 14%', '19', '1.87', '299.0', '2.44', '196.0', '79%', '1.16', '0.68', '0.00', '0.05', '22', '9', '13', '0', '1']"
runneR,Emil Trajkovski,"['Cypher', '(4) 25%', '77', '1.00', '215.0', '1.02', '137.7', '69%', '0.74', '0.23', '0.17', '0.09', '57', '56', '18', '13', '7']","['Gekko', '(3) 19%', '51', '1.50', '282.7', '1.96', '168.2', '86%', '1.04', '0.47', '0.18', '0.04', '53', '27', '24', '9', '2']","['Sova', '(3) 19%', '49', '1.09', '218.7', '1.09', '154.7', '69%', '0.73', '0.33', '0.14', '0.10', '36', '33', '16', '7', '5']"
Boo,Ricardas Lukasevicius,"['Astra', '(8) 27%', '181', '0.94', '179.4', '0.88', '110.3', '76%', '0.62', '0.46', '0.07', '0.08', '112', '127', '84', '12', '14']","['Omen', '(8) 27%', '179', '0.92', '163.4', '0.86', '102.0', '72%', '0.56', '0.39', '0.08', '0.05', '101', '118', '69', '14', '9']","['Fade', '(6) 20%', '129', '0.97', '194.2', '0.98', '123.9', '78%', '0.68', '0.33', '0.08', '0.03', '88', '90', '42', '10', '4']"
